Time(s),Velocity(0kmph),Velocity(1kmph),Velocity(35kmph),Downforce (0kmph),Downforce (1kmph),Downforce(35kmph),Drag (1kmph),Drag (35kmph),Downforce( -35kmph),Velocity( -35kmph),Downforce(-1kmph),Velocity(-1kmph)
0,0,0,0,0,0,32.92,0,,0,0,0,0
1,35,21,29,156.912,58.842,252.85,9.807,39.228,0,8,0,7
2,75,48,40,706.104,294.21,392.27,58.842,68.649,186.32635,53,245.16625,46
3,124,100,80,1931.979,1343.559,1142.95,281.137,205.947,676.65885,88,813.95195,81
4,169,148,114,3658.011,2902.872,2176.86,617.841,392.28,813.95195,133,2039.7832,129
5,210,192,168,5648.832,4903.5,4307.39,1019.928,774.753,3530.394,182,3883.4334,175
6,242,227,204,7541.583,6825.672,6174.6,1412.208,1078.77,5540.75725,222,5766.3102,212
7,268,261,241,9238.194,9032.247,8469.13,1824.102,1451.436,7158.8545,250,7806.0934,247
8,289,286,263,11032.875,10836.735,10026.83,2167.347,1686.804,8904.4382,277,9424.19065,271
9,309,307,293,11278.364,12425.469,11284.77,2471.364,2039.856,10414.6623,298,10963.8347,292
10,325,318,305,13553.274,13327.713,13187,2647.89,,11807.2066,317,12444.63885,312
11,332,328,330,14298.606,14122.08,15234.03,2794.995,,13180.1376,332,13660.66345,327
12,332,332,332,14249.571,14641.851,15599.05,2844.03,,13140.911,332,14258.8691,332
13,332,332,332,14249.571,14612.43,15631.1,2844.03,,13180.1376,332,14219.6425,332
14,332,332,332,14249.571,14622.237,15606.38,2824.416,,13170.33095,332,14200.0292,332
15,332,332,332,14308.413,14573.202,15647.87,2834.223,,13150.71765,332,14219.6425,332
16,332,332,332,14249.571,14661.465,15643.45,2844.03,,13209.55755,332,14268.67575,332
17,332,332,332,14308.413,14641.851,15636.54,2824.416,,13170.33095,332,14239.2558,332
18,332,332,332,14249.571,14573.202,15624.52,2834.223,,13219.3642,332,14229.44915,332
19,332,332,332,14249.571,14661.465,15633.08,2844.03,,13238.9775,332,14268.67575,332
20,332,332,332,14308.413,14612.43,15677.17,2834.223,,13199.7509,332,14268.67575,332
21,332,332,332,14308.413,14661.465,15657.49,2844.03,,13209.55755,332,14268.67575,332
22,332,332,332,14308.413,14612.43,15733.6,2824.416,,13258.5908,332,14268.67575,332
23,332,332,332,14249.571,14612.43,15721.24,2824.416,,13268.39745,332,14278.4824,332
24,332,332,332,14308.413,14573.202,15741.41,2834.223,,13238.9775,332,14258.8691,332
25,332,332,332,14308.413,14612.43,15747.09,2844.03,,13307.62405,332,14209.83585,332
26,332,332,332,14249.571,14573.202,15729.45,2834.223,,13307.62405,332,14268.67575,332
27,332,332,332,14249.571,14661.465,15767.51,2824.416,,13317.4307,332,14239.2558,332
28,332,332,332,14249.571,14573.202,15745.98,2834.223,,13317.4307,332,14268.67575,332
29,332,332,332,14249.571,14641.851,15743.9,2844.03,,13346.85065,332,14209.83585,332
30,332,332,332,14249.571,14661.465,15780.83,2844.03,,13327.23735,332,14268.67575,332
