Time(s),Velocity(0kmph),Downforce (0kmph),Drag (0kmph),Velocity(35kmph),Downforce(35kmph),Drag (35kmph),Downforce Delta,Drag Delta,Velocity Delta
0,0,0,0,0,29.421,0,29.421,0,0
1,35,156.912,29.421,30,264.789,49.035,107.877,19.614,5
2,75,706.104,147.105,56,657.069,117.684,49.035,29.421,19
3,124,1931.979,421.701,104,1175.067,333.438,756.912,88.263,20
4,169,3658.011,765.946,157,3746.274,676.683,88.263,89.263,12
5,210,5648.832,1116.033,197,5705.674,1019.928,56.842,96.105,13
6,242,7541.583,1529.832,231,7796.565,1353.366,254.982,176.466,11
7,268,9238.194,1843.716,258,9610.86,1637.769,372.666,205.947,10
8,289,11032.875,2128.119,283,11483.997,1922.172,451.122,205.947,6
9,309,11278.364,2412.522,302,12945.24,2147.733,1666.876,264.789,7
10,325,13553.274,2647.89,320,14377.062,2363.487,823.788,284.403,5
11,332,14298.606,2726.346,332,15612.744,2481.171,1314.138,245.175,0
12,332,14249.571,2726.346,332,15593.13,2490.978,1343.559,235.368,0
13,332,14249.571,2736.153,332,15593.13,2481.171,1343.559,254.982,0
14,332,14249.571,2726.346,332,15661.779,2500.785,1412.208,225.561,0
15,332,14308.413,2736.153,332,15642.165,2500.785,1333.752,235.368,0
16,332,14249.571,2726.346,332,15661.779,2500.785,1412.208,225.561,0
17,332,14308.413,2736.153,332,15642.165,2500.785,1333.752,235.368,0
18,332,14249.571,2736.153,332,15642.165,2500.785,1392.594,235.368,0
19,332,14249.571,2726.346,332,15642.165,2500.785,1392.594,225.561,0
20,332,14308.413,2726.346,332,15661.779,2500.785,1353.366,225.561,0
21,332,14308.413,2736.153,332,15642.165,2500.785,1333.752,235.368,0
22,332,14308.413,2736.153,332,15661.779,2500.785,1353.366,235.368,0
23,332,14249.571,2736.153,332,15642.165,2500.785,1392.594,235.368,0
24,332,14308.413,2726.346,332,15661.779,2500.785,1353.366,225.561,0
25,332,14308.413,2726.346,332,15642.165,2520.399,1333.752,205.947,0
26,332,14249.571,2736.153,332,15661.779,2500.785,1412.208,235.368,0
27,332,14249.571,2736.153,332,15661.779,2520.399,1412.208,215.754,0
28,332,14249.571,2726.346,332,15661.779,2500.785,1412.208,225.561,0
29,332,14249.571,2736.153,332,15661.779,2520.399,1412.208,215.754,0
30,332,14249.571,2736.153,332,15661.779,2520.399,1412.208,215.754,0
